created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 23 12:33:00 +0000 2024;1771515490667766101;"@ifah_63 @fachruzian @VIVAcoid IKN atau pindah ibukota negara itu cita2 yg sudah ada sejak era Soekarno yg waktu itu ingin pindahkan ibukota Indonesia dari Jakarta ke Palangkaraya termasuk pemindahan ke Jonggol dan cita2 era presiden setelahnya yg belum terlaksana tapi di era Jokowi akhirnya bisa terlaksana";0;1;0;0;in;1723303770627715072;1771303745814728863;Black_Hunter_9;https://twitter.com/Black_Hunter_9/status/1771515490667766101
Sat Mar 23 10:22:24 +0000 2024;1771482622138433601;"@ferizandra Konspirasi teori tentang alasan pemindahan ibukota juga udah banyak. Kalimantan itu dekat ke singapura dan malaka (jalur sutra lama)   Pernah dengar new silk road program oleh china ?  Masalahnya bukan itu, pemindahan itu belum memenuhi prosedur. Spt yg dibilang Anies saat debat";0;0;0;1;in;561724863;1771311293775167718;hilman_anugraha;https://twitter.com/hilman_anugraha/status/1771482622138433601
Sat Mar 23 07:16:01 +0000 2024;1771435717316731357;"@ferizandra Dan konyolnya.... Mereka2 yg membuat UU pemindahan ibukota ini malah enggan pindah ke ibukota baru itu. Karena mereka paham akan seperti apa ibukota baru itu nantinya  https://t.co/r0g58uVkwX";0;8;14;63;in;963751550;1771311293775167718;KangSemproel;https://twitter.com/KangSemproel/status/1771435717316731357
Sat Mar 23 04:28:15 +0000 2024;1771393499352723544;"@Qail4n @DokterTifa Kamu rakyat yang tolol, beliau ini sudah menuntaskan berbagai masalah di negara ini muali dari hilirisasi bahan tambang dan pembangunan infastruktur yang lebih merata dan pemindahan ibukota itu didasari kondisi jakarta yang sudah mulai dimakan air laut";0;1;0;0;in;1689487355277959169;1770478967885336811;bintangkel41822;https://twitter.com/bintangkel41822/status/1771393499352723544
Sat Mar 23 01:08:17 +0000 2024;1771343174553977109;"@aqbilnf @RandomWorldWar Kalo gua sih liat result aja buktinya baik2 aja sm Korut dan soal pemindahan ibukota Israel ke Jerusalem itu emg ngaco tapi dibanding genosida puluhan ribu sipil dan anak2 Gaza ya lbh parah skrg. Playbooknya Trump paling cuma diplomasi dan statement bodoh bukan perang😂";0;1;2;48;in;1324641125785763840;1771315535881670732;saludosparatii;https://twitter.com/saludosparatii/status/1771343174553977109
Fri Mar 22 06:23:42 +0000 2024;1771060165015396834;"Jakarta sengaja dibuat rusak oleh Rezimulator Jokowi plus PJ gubernur DKI orangnya orderan Jokowi  untuk mempercepat proses pemindahan ibukota negara ke IKN.... @BPBDJakarta @setpresRI @KemensetnegRI    🇮🇩 #DamaiTanpaJokowi";0;0;1;0;in;1605195051084435457;1771060165015396834;sumpanto;https://twitter.com/sumpanto/status/1771060165015396834
Fri Mar 22 04:24:13 +0000 2024;1771030093974081709;"@dapitnih Harus bikin jakarta tidak layak huni agar pemindahan ibukota berjjalan lancar";0;0;1;1;in;1743504072886652928;1770983270865641855;BomBa4574865945;https://twitter.com/BomBa4574865945/status/1771030093974081709
Wed Mar 20 06:32:09 +0000 2024;1770337514848464904;"@KompasTV Pemindahan ibukota ke IKN akan gagal.";0;0;0;0;in;1604246670027300864;1770045359466946656;EMusiran;https://twitter.com/EMusiran/status/1770337514848464904
Wed Mar 20 00:07:04 +0000 2024;1770240604993392887;"Satu-satunya partai yang menolak pemindahan Ibukota ke IKN hanya PKS. Jadi, yg stay di Jakarta PKS aja.   Yang lain pindah ke IKN. 🙃";0;0;0;0;in;1028513359;1770240604993392887;alisiasy_;https://twitter.com/alisiasy_/status/1770240604993392887
Tue Mar 19 22:25:53 +0000 2024;1770215143265440115;"@DaryonoBMKG Karenanya pemindahan ibukota ke palangkaraya adalah ktitical dan ini pulalah alasan nya🤔";0;0;0;0;in;1760353909573656577;1769933722609156426;Parkode86;https://twitter.com/Parkode86/status/1770215143265440115
